"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"22933",1,1,0,1,0,1,1,1
"28239",1,1,1,1,1,1,1,1
"29821",1,1,1,1,1,1,1,0
"12338",0,0,0,0,0,0,0,0
"32345",1,1,0,0,1,0,1,0
"17325",1,1,0,0,0,0,0,0
"30570",1,1,1,1,1,1,1,0
"30988",1,1,1,0,1,0,0,1
"23779",1,1,0,0,1,1,0,0
"30717",0,1,0,1,0,1,1,1
"31248",1,1,1,0,0,0,0,0
"29158",1,1,1,1,1,0,0,0
"27966",1,1,1,0,1,0,1,0
"32181",1,0,0,0,0,0,0,0
"36777",1,1,1,0,0,0,0,0
"31852",1,1,1,1,0,1,0,0
"14007",0,0,0,0,0,0,0,0
"32835",1,0,0,0,0,0,1,0
"33452",1,1,1,0,1,1,0,0
"36713",1,1,1,1,1,1,1,1
"31014",1,0,0,0,1,1,0,1
"27546",1,1,1,0,0,0,0,0
"32406",0,0,0,0,0,0,1,0
"36901",1,1,1,0,0,0,1,0
"11444",1,1,0,0,0,1,0,0
"31438",0,0,0,0,0,0,0,0
"17504",0,0,0,0,1,1,1,0
"40919",1,1,0,0,0,0,0,0
"30386",1,0,0,0,0,0,0,0
"30272",1,1,1,1,1,1,1,1
"21360",1,1,1,1,1,0,1,1
"32965",1,1,1,1,0,0,0,0
"15948",1,1,1,0,1,1,0,0
"26185",1,1,1,1,1,1,0,1
"30971",1,1,1,0,1,0,0,0
"31987",1,1,1,0,0,1,1,0
"31916",0,0,0,0,0,0,0,0
"31823",1,1,1,1,1,1,1,1
"24750",1,1,1,0,1,1,1,1
"33596",1,1,0,0,0,1,0,0
"32452",1,1,1,1,1,1,1,1
"23334",1,1,1,1,1,1,1,1
"37767",1,0,0,0,0,0,0,0
"23393",1,1,1,1,1,1,0,0
"15366",1,1,1,1,1,1,1,1
"31207",1,1,1,0,1,1,1,1
"31553",1,1,1,1,1,1,1,1
"20805",1,1,0,1,0,1,0,0
"30947",1,0,0,0,0,0,0,1
"32758",1,1,1,0,0,1,1,0
"35021",1,1,1,1,1,1,0,0
"31603",1,1,1,1,1,1,0,0
"22984",1,1,1,0,0,0,0,1
"24248",1,0,0,0,0,0,0,1
"19617",1,1,0,1,1,1,1,1
"21048",1,1,1,1,1,1,1,1
"32775",1,1,1,0,0,0,1,0
"32308",0,0,0,0,0,0,1,0
"22681",1,1,0,0,1,0,0,0
"40868",1,1,1,0,1,1,0,0
"27838",0,0,0,0,0,1,0,1
"13632",1,1,1,1,1,1,1,1
"19979",0,0,0,0,1,0,1,1
"24101",1,1,1,1,0,1,0,1
"13353",1,0,0,0,0,0,0,0
"32294",0,1,0,1,0,0,0,0
"32255",1,1,0,0,0,0,0,0
"13106",0,0,0,0,0,0,0,0
"28334",1,1,0,0,0,0,0,0
"34924",0,0,0,0,0,0,0,0
"31309",1,1,1,0,0,0,0,0
"36574",1,0,0,0,0,0,0,0
"39232",1,1,1,1,1,1,1,1
"22452",0,0,0,0,1,1,1,1
"29812",1,1,0,0,1,0,0,1
"10399",1,1,0,1,0,1,1,1
"31148",1,1,1,1,1,0,0,0
"38425",1,0,0,0,0,0,0,0
"32472",1,1,1,0,1,1,1,1
"31056",1,1,0,0,0,1,0,0
"30151",1,1,1,0,0,0,0,0
"32095",1,0,0,0,0,0,0,0
"33238",1,1,0,0,1,0,0,0
"33224",0,0,0,0,0,0,0,1
"23827",0,1,0,1,0,0,0,0
"17719",1,1,1,0,0,0,0,0
"22616",1,1,1,0,0,0,1,0
"31864",0,0,0,0,0,0,0,0
"40488",1,1,0,0,0,1,0,0
"14461",1,1,0,1,1,1,1,1
"22799",1,1,0,0,0,1,1,0
"31224",1,1,1,1,1,1,1,1
"15393",1,1,1,0,0,1,0,0
"30327",1,1,1,0,1,1,0,0
"19353",1,1,1,0,0,0,0,0
"30582",1,1,1,1,1,1,0,0
"16161",1,1,1,0,0,0,0,0
"38359",1,1,0,1,1,0,1,1
"14472",1,1,1,1,0,0,1,1
"11526",1,1,1,1,1,0,0,0
"28255",1,1,1,0,1,0,1,1
"30637",1,1,0,0,1,1,1,1
"43166",1,1,1,1,1,1,1,1
"16952",1,1,0,0,0,1,1,1
"13229",0,0,0,0,0,0,1,1
"23166",1,0,0,0,1,1,0,0
"22439",1,1,1,1,0,0,1,1
"34092",1,1,1,1,1,1,1,1
"33862",1,1,1,0,0,1,0,1
"30132",1,1,1,1,0,1,0,0
"17242",1,0,0,0,0,0,0,0
"32574",1,1,1,0,1,0,0,1
"38825",0,0,0,0,1,0,0,0
"13634",1,1,1,1,1,1,1,1
"23412",1,1,0,0,1,0,1,1
"34043",1,1,1,1,1,1,1,1
"39295",1,1,1,0,0,0,0,0
"30061",1,1,1,0,1,1,1,1
"32845",1,1,1,0,0,1,0,0
"31566",0,1,0,1,0,1,0,1
"19310",1,1,1,1,1,1,1,1
"28287",0,0,0,0,0,1,0,0
"12078",1,1,1,1,1,1,1,1
"33981",1,1,1,1,1,1,1,1
"36611",1,1,1,1,1,1,1,1
"18562",1,1,1,1,0,0,0,0
"23094",1,1,1,0,0,0,0,1
"27822",1,1,1,0,0,0,0,0
