"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"30327",0,0,0,0,0,0,0,0
"19353",0,0,0,0,0,0,0,0
"30582",0,1,0,0,0,0,0,0
"16161",0,0,0,1,0,0,0,0
"38359",0,0,0,0,0,0,0,0
"14472",0,0,0,0,0,0,0,0
"11526",0,0,0,0,0,0,0,0
"28255",0,0,0,0,0,0,0,0
"30637",0,1,1,1,1,1,1,0
"43166",0,0,0,0,0,0,0,0
"16952",1,0,0,0,0,0,0,0
"13229",0,0,0,0,1,0,0,0
"23166",0,1,1,1,1,0,0,1
"22439",1,1,1,1,1,0,0,1
"34092",1,1,0,1,1,1,0,0
"33862",1,0,0,0,0,1,0,1
"30132",0,0,0,1,0,1,0,0
"17242",0,0,0,0,0,0,0,0
"32574",1,0,0,0,0,0,0,1
"38825",0,0,0,1,0,0,0,0
"13634",1,1,1,1,1,1,1,0
"23412",0,0,0,0,0,0,0,0
"34043",0,0,0,0,0,0,0,0
"39295",0,0,0,0,0,0,0,0
"30061",0,0,0,0,0,0,0,0
"32845",0,1,1,1,0,1,0,0
"31566",1,0,0,1,0,0,0,0
"19310",0,1,0,0,0,0,0,0
"28287",1,1,0,0,0,0,0,1
"12078",0,0,0,0,0,0,0,0
"33981",0,0,0,0,0,0,0,0
"36611",1,1,0,0,0,0,0,0
"18562",0,0,1,1,0,0,0,0
"23094",0,0,0,0,0,0,0,0
"27822",1,0,0,0,0,0,0,0
"30506",0,0,0,0,0,0,0,0
"35054",0,0,1,1,1,1,1,0
"13665",0,0,0,0,0,0,0,0
"31512",0,0,0,0,0,0,0,0
"34908",0,0,0,0,0,0,0,0
"31692",0,0,0,0,0,0,0,0
"33930",0,0,0,0,1,0,1,1
"18096",0,0,0,0,0,0,0,0
"26950",0,0,0,0,0,0,0,0
"34890",1,0,0,0,0,0,0,0
"26847",0,0,0,0,0,0,0,0
"12884",0,0,0,0,0,0,0,0
"31234",0,0,0,1,0,0,0,0
"12740",1,1,1,1,1,1,1,0
"31948",0,0,0,0,0,0,0,0
"13057",1,0,1,1,0,1,1,0
"20303",0,0,0,0,0,0,0,0
"16224",0,0,0,0,0,0,0,0
"33106",1,0,0,0,0,0,0,0
"42918",0,0,0,0,0,0,0,0
"25909",1,0,0,0,0,0,0,0
"29750",0,0,0,0,0,0,0,0
"24024",0,0,0,0,0,0,0,0
"19578",0,0,0,0,0,0,0,0
"26517",1,0,1,0,0,0,0,0
"31389",0,1,0,0,0,0,0,0
"32421",0,0,0,0,0,0,0,0
"24258",0,0,0,0,0,0,0,0
"42288",1,0,1,0,0,0,0,0
"39612",0,0,0,0,0,0,0,0
"34045",0,0,0,0,0,0,0,0
"31209",0,0,0,0,0,0,0,0
"28652",0,0,0,0,0,0,0,0
"19243",0,0,0,0,0,0,0,0
"37641",1,0,0,1,1,0,0,0
"42095",0,0,0,0,0,0,0,0
"31232",0,0,0,0,0,0,0,0
"27165",0,0,0,0,0,0,0,0
"27890",0,1,0,0,0,0,0,0
"28353",1,0,1,0,0,0,0,0
"24417",0,0,0,0,0,1,1,0
"38361",0,0,0,0,0,0,0,0
"33846",0,0,0,0,0,0,0,0
"17342",1,0,0,0,1,0,0,0
"25166",0,0,0,0,0,0,0,0
"29089",0,0,0,0,0,0,0,0
"15693",0,0,1,0,0,0,0,0
"33575",0,0,0,0,0,0,0,0
"22729",0,0,0,0,0,1,0,0
"17718",0,0,0,0,0,0,0,0
"17340",0,0,0,0,0,0,0,0
"13906",0,0,0,0,0,0,0,0
"34947",1,1,0,0,1,0,0,0
"17781",0,1,1,1,1,0,0,0
"16154",0,0,0,0,0,0,0,0
"14862",0,0,0,0,0,0,0,0
"16396",1,1,0,1,1,0,0,0
"34024",1,1,1,0,0,0,0,0
"13392",0,1,0,0,0,0,0,0
"29935",0,0,0,0,0,0,0,0
"33560",0,0,0,0,0,0,0,0
"31315",0,1,0,0,0,0,0,0
"22570",0,0,0,0,0,0,0,0
"41280",0,0,0,0,0,0,0,0
"31816",1,1,1,1,1,1,0,1
"27835",0,0,0,0,0,0,0,0
"29994",1,1,0,1,1,0,0,0
"19480",0,0,0,0,0,0,0,0
"39301",0,0,0,0,0,0,0,0
"22947",0,0,0,1,0,0,0,0
"29567",1,0,1,0,0,1,1,0
"19985",0,0,0,0,0,0,0,0
"16623",0,0,0,1,0,0,0,0
"24754",0,1,0,0,1,0,0,0
"32300",1,1,1,1,1,1,1,1
"43154",0,0,0,0,0,0,0,0
"17268",0,0,0,0,0,0,0,0
"23304",0,0,0,0,0,0,1,0
"28991",0,0,0,1,0,1,0,0
"30029",0,0,0,0,0,0,0,0
"28741",0,1,0,0,0,0,0,0
"38058",1,1,1,0,0,0,0,0
"38346",0,0,0,0,0,0,0,0
"32525",0,0,0,0,0,0,0,0
"33854",0,0,0,0,0,0,0,0
"20345",1,1,1,1,1,0,0,0
"16077",0,0,0,0,0,0,0,0
"20209",0,1,0,0,0,0,0,0
"31681",1,1,1,1,1,1,1,0
"30277",0,0,1,0,1,0,0,0
"31578",0,0,0,0,0,0,0,0
"22900",0,1,0,0,0,0,0,0
"10952",0,0,0,0,0,0,1,0
"15581",0,0,1,0,0,0,0,0
"32906",0,0,0,0,0,0,0,0
"13053",0,0,0,0,0,0,0,0
"30916",0,0,0,0,0,0,0,0
"18196",0,0,0,0,1,0,1,0
"31910",0,1,0,0,0,0,0,0
"22912",0,0,0,0,0,0,0,0
"11807",0,0,0,0,0,0,0,0
"16803",0,0,0,0,0,0,0,1
"19296",1,1,0,1,0,0,0,0
"15907",1,1,1,1,1,1,1,1
"22970",0,0,0,0,0,0,0,0
"32216",0,0,0,0,0,0,0,0
"33267",1,0,0,0,0,0,0,0
"17067",0,1,0,0,0,0,0,0
"17082",0,0,0,0,0,0,0,0
"32673",0,0,1,0,0,0,0,0
"30076",1,0,0,1,1,0,0,0
"29827",0,1,0,0,0,0,0,0
"32103",0,0,0,0,0,0,0,0
"30533",0,0,0,0,0,0,0,0
"35694",0,0,0,0,0,0,0,0
"29683",0,0,0,0,0,0,0,0
"29540",0,0,0,0,0,0,0,0
"31517",0,0,0,0,0,0,1,0
"29043",0,0,1,0,0,0,0,0
"30834",1,1,1,1,0,0,0,0
"24685",1,1,1,0,1,0,1,1
"15986",0,0,0,0,0,0,0,0
"29996",0,0,0,0,0,0,0,0
"15964",0,0,0,0,0,0,0,0
"30815",0,0,1,0,0,0,0,0
"18009",0,0,0,0,0,0,0,0
"12138",0,0,0,0,1,1,0,0
"32029",0,0,0,0,0,0,0,0
"37563",1,0,0,0,0,0,0,0
"29105",0,0,0,0,0,0,0,0
"27634",0,0,0,0,0,0,0,0
